t_s,T_numeric_K,T_analytical_K
2310.042456140351,307.3564291153358,307.35642910111517
2321.535204678363,307.3672782243481,307.36727821509857
2333.0279532163745,307.3779654027758,307.37796540503615
2344.520701754386,307.38849307010224,307.38849308765947
2356.013450292398,307.39886361017966,307.3988636436302
2367.5061988304096,307.4090793712295,307.40907941807836
2378.9989473684213,307.41914266584206,307.4191427211328
2390.491695906433,307.42905577098054,307.4290558284433
2401.9844444444443,307.43882093379364,307.43882098169564
2413.477192982456,307.4484403599426,307.4484403891178
2424.9699415204677,307.45791621633595,307.45791622598017
2436.4626900584794,307.4672506404419,307.46725063508677
2447.955438596491,307.47644574028817,307.47644572726017
2459.448187134503,307.48550359446233,307.4855035818187
2470.9409356725146,307.49442625211145,307.49442624704665
2482.4336842105263,307.50321573294235,307.5032157406575
2493.926432748538,307.51187402722144,307.51187405025007
2505.4191812865497,307.5204030957748,307.5204031337583
2516.9119298245614,307.52880486998816,307.5288049198935
2528.404678362573,307.53708125180697,307.53708130858104
2539.897426900585,307.54523411401937,307.54523417138955
2551.3901754385965,307.5532653059436,307.5532653519544
2562.8829239766083,307.56117663891933,307.56117666639454
2574.37567251462,307.56896989486967,307.5689699037231
2585.8684210526317,307.57664683156486,307.5766468262521
2597.3611695906434,307.5842091826226,307.58420916999086
2608.853918128655,307.59165865750776,307.59165864503854
2620.346666666667,307.5989969415325,307.59899693597106
2631.8394152046785,307.6062256958562,307.60622570222165
2643.33216374269,307.6133465574856,307.6133465784566
2654.824912280702,307.6203611392747,307.6203611749445
2666.3176608187136,307.6272710299246,307.62727107792057
2677.8104093567254,307.6340777939839,307.63407784994524
2689.303157894737,307.64078297184847,307.64078303025775
2700.795906432749,307.6473880838103,307.64738813512395
2712.2886549707605,307.6538946232406,307.6538946581792
2723.781403508772,307.66030405437084,307.66030407076636
2735.274152046784,307.6666178217263,307.6666178222682
2746.7669005847956,307.67283735016844,307.6728373404356
2758.259649122807,307.67896404489505,307.67896403170977
2769.7523976608186,307.6849992914403,307.6849992815408
2781.2451461988303,307.6909444556744,307.69094445470097
2792.737894736842,307.69680088380403,307.6968008955929
2804.2306432748537,307.7025699023721,307.70256992855417
2815.7233918128654,307.70825281825773,307.70825285815624
2827.216140350877,307.71385091867637,307.7138509694999
2838.708888888889,307.71936547117986,307.71936552850565
2850.2016374269006,307.7247977237227,307.72479778219997
2861.6943859649123,307.7301489094342,307.73014895899735
2873.187134502924,307.7354202357695,307.73542026897803
2884.6798830409357,307.7406128887101,307.74061290416194
2896.1726315789474,307.7457280383601,307.7457280387776
2907.665380116959,307.750766838946,307.75076682952846
2919.158128654971,307.7557304288169,307.75573041585375
2930.6508771929825,307.76061993044425,307.7606199201866
2942.1436257309942,307.7654364504221,307.7654364482078
2953.636374269006,307.77018107946697,307.7701810890957
2965.1291228070177,307.7748548924178,307.77485491577227
2976.6218713450294,307.77945894823614,307.7794589851465
2988.114619883041,307.783994290006,307.78399433835256
2999.607368421053,307.7884619449338,307.7884620009858
3011.1001169590645,307.7928629243485,307.7928629833344
3022.592865497076,307.79719822601623,307.79719828060774
3034.085614035088,307.8014688321429,307.80146887316187
3045.5783625730996,307.8056757027279,307.8056757267207
3057.0711111111113,307.8098197847208,307.80981979259485
3068.563859649123,307.8139020123646,307.8139020078964
3080.0566081871348,307.81792330719594,307.8179232957508
3091.5493567251465,307.82188457804494,307.8218845655061
3103.042105263158,307.82578672103523,307.825786712938
3114.53485380117,307.82963061958384,307.8296306204527
3126.0276023391816,307.8334171444014,307.83341715728653
